year,sex,ager12,ucr39,count
2006,F,10,16,11484
2006,F,10,17,14623
2006,F,10,20,4051
2006,F,10,21,58020
2006,F,10,22,26101
2006,F,10,23,3942
2006,F,10,24,25438
2006,F,10,25,1384
2006,F,10,26,3625
2006,F,10,27,8357
2006,F,10,28,24250
2006,F,10,29,502
2006,F,10,30,1877
2006,F,10,31,7293
2006,F,10,33,1
2006,F,10,34,201
2006,F,10,36,3095
2006,F,10,37,60034
2006,F,10,38,1283
2006,F,10,39,5618
2006,F,10,40,311
2006,F,10,41,138
2006,F,10,42,60
2006,F,11,1,59
2006,F,11,2,6
2006,F,11,3,6
2006,F,11,5,1051
2006,F,11,6,7032
2006,F,11,7,3407
2006,F,11,8,8191
2006,F,11,9,6136
2006,F,11,10,3421
2006,F,11,12,2373
2006,F,11,13,2320
2006,F,11,14,2300
2006,F,11,15,10894
2006,F,11,16,9687
2006,F,11,17,34153
2006,F,11,20,8664
2006,F,11,21,98165
2006,F,11,22,49239
2006,F,11,23,7346
2006,F,11,24,39344
2006,F,11,25,3327
2006,F,11,26,4193
2006,F,11,27,16728
2006,F,11,28,18362
2006,F,11,29,726
2006,F,11,30,586
2006,F,11,31,9028
2006,F,11,32,1
2006,F,11,34,183
2006,F,11,36,9284
2006,F,11,37,95034
2006,F,11,38,548
2006,F,11,39,8615
2006,F,11,40,111
2006,F,11,41,64
2006,F,11,42,36
2006,F,12,6,1
2006,F,12,8,1
2006,F,12,9,1
2006,F,12,21,10
2006,F,12,22,1
2006,F,12,24,1
2006,F,12,27,1
2006,F,12,28,1
2006,F,12,30,1
2006,F,12,33,2
2006,F,12,34,1
2006,F,12,36,28
2006,F,12,37,4
2006,F,12,38,2
2006,F,12,39,10
2006,F,12,41,5
2006,M,1,3,2
2006,M,1,8,1
2006,M,1,12,2
2006,M,1,13,1
2006,M,1,14,17
2006,M,1,15,18
2006,M,1,16,4
2006,M,1,20,1
2006,M,1,21,15
2006,M,1,22,171
2006,M,1,24,83
2006,M,1,25,1
2006,M,1,26,12
2006,M,1,27,164
2006,M,1,28,20
2006,M,1,30,2
2006,M,1,31,101
2006,M,1,33,8044
2006,M,1,34,3106
2006,M,1,35,1359
2006,M,1,36,657
2006,M,1,37,1305
2006,M,1,38,70
2006,M,1,39,610
2006,M,1,41,200
2006,M,1,42,57
2006,M,2,1,1
2006,M,2,2,1
2006,M,2,7,1
2006,M,2,8,1
2006,M,2,12,4
2006,M,2,13,6
2006,M,2,14,65
2006,M,2,15,133
2006,M,2,16,3
2006,M,2,21,5
2006,M,2,22,85
2006,M,2,24,26
2006,M,2,27,63
2006,M,2,28,29
2006,M,2,30,3
2006,M,2,31,9
2006,M,2,33,37
2006,M,2,34,248
2006,M,2,36,135
2006,M,2,37,521
2006,M,2,38,316
2006,M,2,39,628
2006,M,2,41,209
2006,M,2,42,29
2006,M,3,3,8
2006,M,3,5,1
2006,M,3,6,1
2006,M,3,8,2
2006,M,3,11,1
2006,M,3,12,18
2006,M,3,13,28
2006,M,3,14,148
2006,M,3,15,312
2006,M,3,16,13
2006,M,3,20,1
2006,M,3,21,7
2006,M,3,22,133
2006,M,3,23,2
2006,M,3,24,56
2006,M,3,26,9
2006,M,3,27,35
2006,M,3,28,78
2006,M,3,31,12
2006,M,3,33,14
2006,M,3,34,183
2006,M,3,36,75
2006,M,3,37,661
2006,M,3,38,766
2006,M,3,39,635
2006,M,3,40,154
2006,M,3,41,247
2006,M,3,42,44
2006,M,4,1,2
2006,M,4,3,121
2006,M,4,5,10
2006,M,4,6,20
2006,M,4,7,3
2006,M,4,8,10
2006,M,4,9,1
2006,M,4,11,1
2006,M,4,12,12
2006,M,4,13,97
2006,M,4,14,301
2006,M,4,15,565
2006,M,4,16,96
2006,M,4,20,46
2006,M,4,21,106
2006,M,4,22,565
2006,M,4,23,11
2006,M,4,24,115
2006,M,4,25,1
2006,M,4,26,44
2006,M,4,27,101
2006,M,4,28,93
2006,M,4,29,5
2006,M,4,30,14
2006,M,4,31,56
2006,M,4,33,11
2006,M,4,34,281
2006,M,4,36,441
2006,M,4,37,1652
2006,M,4,38,8038
2006,M,4,39,4334
2006,M,4,40,3533
2006,M,4,41,5007
2006,M,4,42,551
2006,M,5,1,11
2006,M,5,3,734
2006,M,5,5,59
2006,M,5,6,168
2006,M,5,7,21
2006,M,5,8,85
2006,M,5,9,3
2006,M,5,11,5
2006,M,5,12,48
2006,M,5,13,134
2006,M,5,14,276
2006,M,5,15,981
2006,M,5,16,379
2006,M,5,20,236
2006,M,5,21,833
2006,M,5,22,1237
2006,M,5,23,66
2006,M,5,24,293
2006,M,5,25,5
2006,M,5,26,106
2006,M,5,27,175
2006,M,5,28,138
2006,M,5,29,10
2006,M,5,30,215
2006,M,5,31,157
2006,M,5,33,3
2006,M,5,34,264
2006,M,5,36,733
2006,M,5,37,2646
2006,M,5,38,5691
2006,M,5,39,5940
2006,M,5,40,4070
2006,M,5,41,4008
2006,M,5,42,714
2006,M,6,1,26
2006,M,6,2,2
2006,M,6,3,2847
2006,M,6,5,234
2006,M,6,6,699
2006,M,6,7,309
2006,M,6,8,1040
2006,M,6,9,6
2006,M,6,11,40
2006,M,6,12,257
2006,M,6,13,324
2006,M,6,14,394
2006,M,6,15,2702
2006,M,6,16,1282
2006,M,6,17,8
2006,M,6,20,985
2006,M,6,21,5100
2006,M,6,22,2569
2006,M,6,23,242
2006,M,6,24,1169
2006,M,6,25,21
2006,M,6,26,321
2006,M,6,27,463
2006,M,6,28,396
2006,M,6,29,43
2006,M,6,30,1671
2006,M,6,31,459
2006,M,6,33,2
2006,M,6,34,266
2006,M,6,36,1058
2006,M,6,37,6658
2006,M,6,38,4812
2006,M,6,39,7794
2006,M,6,40,5086
2006,M,6,41,2285
2006,M,6,42,889
2006,M,7,1,79
2006,M,7,2,3
2006,M,7,3,3277
2006,M,7,5,729
2006,M,7,6,2476
2006,M,7,7,1662
2006,M,7,8,7210
2006,M,7,9,43
2006,M,7,11,406
2006,M,7,12,1273
2006,M,7,13,921
2006,M,7,14,801
2006,M,7,15,9869
2006,M,7,16,3523
2006,M,7,17,53
2006,M,7,20,2600
2006,M,7,21,19055
2006,M,7,22,5897
2006,M,7,23,813
2006,M,7,24,3489
2006,M,7,25,99
2006,M,7,26,808
2006,M,7,27,1194
2006,M,7,28,1964
2006,M,7,29,198
2006,M,7,30,5533
2006,M,7,31,1340
2006,M,7,33,2
2006,M,7,34,377
2006,M,7,36,1445
2006,M,7,37,16263
2006,M,7,38,4852
2006,M,7,39,9236
2006,M,7,40,5593
2006,M,7,41,1642
2006,M,7,42,901
2006,M,8,1,82
2006,M,8,2,4
2006,M,8,3,1355
2006,M,8,5,1267
2006,M,8,6,5026
2006,M,8,7,3744
2006,M,8,8,18531
2006,M,8,9,89
2006,M,8,11,2277
2006,M,8,12,2995
2006,M,8,13,1798
2006,M,8,14,1736
2006,M,8,15,17979
2006,M,8,16,6681
2006,M,8,17,304
2006,M,8,20,2907
2006,M,8,21,33760
2006,M,8,22,8704
2006,M,8,23,1275
2006,M,8,24,5920
2006,M,8,25,245
2006,M,8,26,1473
2006,M,8,27,1884
2006,M,8,28,6396
2006,M,8,29,255
2006,M,8,30,5116
2006,M,8,31,2446
2006,M,8,33,1
2006,M,8,34,396
2006,M,8,36,1268
2006,M,8,37,21020
2006,M,8,38,3155
2006,M,8,39,4940
2006,M,8,40,3473
2006,M,8,41,745
2006,M,8,42,311
2006,M,9,1,78
2006,M,9,2,3
2006,M,9,3,363
2006,M,9,5,1568
2006,M,9,6,6674
2006,M,9,7,4542
2006,M,9,8,27717
2006,M,9,9,86
2006,M,9,11,5608
2006,M,9,12,4169
2006,M,9,13,2582
2006,M,9,14,2877
2006,M,9,15,19724
2006,M,9,16,8356
2006,M,9,17,1710
2006,M,9,20,2420
2006,M,9,21,43029
2006,M,9,22,12049
2006,M,9,23,1608
2006,M,9,24,9398
2006,M,9,25,465
2006,M,9,26,2526
2006,M,9,27,3379
2006,M,9,28,14162
2006,M,9,29,283
2006,M,9,30,3010
2006,M,9,31,3917
2006,M,9,34,181
2006,M,9,36,1296
2006,M,9,37,27114
2006,M,9,38,1848
2006,M,9,39,3607
2006,M,9,40,1970
2006,M,9,41,265
2006,M,9,42,101
2006,M,10,1,98
2006,M,10,2,3
2006,M,10,3,84
2006,M,10,5,1950
2006,M,10,6,7929
2006,M,10,7,4572
2006,M,10,8,27030
2006,M,10,9,112
2006,M,10,11,11166
2006,M,10,12,5605
2006,M,10,13,3547
2006,M,10,14,4028
2006,M,10,15,20558
2006,M,10,16,10295
2006,M,10,17,8301
2006,M,10,20,3002
2006,M,10,21,67418
2006,M,10,22,22135
2006,M,10,23,2715
2006,M,10,24,18332
2006,M,10,25,1086
2006,M,10,26,3955
2006,M,10,27,8323
2006,M,10,28,23178
2006,M,10,29,436
2006,M,10,30,1907
2006,M,10,31,7254
2006,M,10,33,1
2006,M,10,34,191
2006,M,10,36,2347
2006,M,10,37,50624
2006,M,10,38,1643
2006,M,10,39,5896
2006,M,10,40,1770
2006,M,10,41,142
2006,M,10,42,81
2006,M,11,1,52
2006,M,11,2,4
2006,M,11,3,5
2006,M,11,5,847
2006,M,11,6,3961
2006,M,11,7,1725
2006,M,11,8,7730
2006,M,11,9,51
2006,M,11,11,8889
2006,M,11,12,3196
2006,M,11,13,1513
2006,M,11,14,1774
2006,M,11,15,8291
2006,M,11,16,5420
2006,M,11,17,10784
2006,M,11,20,2819
2006,M,11,21,55811
2006,M,11,22,22811
2006,M,11,23,2689
2006,M,11,24,15752
2006,M,11,25,1441
2006,M,11,26,2617
2006,M,11,27,9906
2006,M,11,28,12850
2006,M,11,29,373
2006,M,11,30,441
2006,M,11,31,6366
2006,M,11,34,115
2006,M,11,36,3229
2006,M,11,37,43597
2006,M,11,38,696
2006,M,11,39,5154
2006,M,11,40,729
2006,M,11,41,38
2006,M,11,42,38
2006,M,12,3,1
2006,M,12,6,2
2006,M,12,13,1
2006,M,12,15,3
2006,M,12,16,1
2006,M,12,20,4
2006,M,12,21,25
2006,M,12,22,7
2006,M,12,24,1
2006,M,12,27,2
2006,M,12,28,3
2006,M,12,30,3
2006,M,12,33,1
2006,M,12,34,1
2006,M,12,36,55
2006,M,12,37,21
2006,M,12,38,23
2006,M,12,39,63
2006,M,12,40,13
2006,M,12,41,24
2006,M,12,42,8
2007,F,1,1,1
2007,F,1,2,2
2007,F,1,5,1
2007,F,1,12,1
2007,F,1,13,1
2007,F,1,14,7
2007,F,1,15,23
2007,F,1,16,2
2007,F,1,21,13
2007,F,1,22,174
2007,F,1,24,55
2007,F,1,26,6
2007,F,1,27,87
2007,F,1,28,16
2007,F,1,30,1
2007,F,1,31,66
2007,F,1,33,6348
2007,F,1,34,2723
2007,F,1,35,1031
2007,F,1,36,489
2007,F,1,37,1069
2007,F,1,38,68
2007,F,1,39,516
2007,F,1,41,146
